岗位名称,最低薪资,最高薪资,公司名称,地区,地市,经验诉求,学历要求,招录人数,特殊要求,专业要求,待遇福祉,职位信息,职能类别,关键字,上班地址,工作ID,公司介绍,性质,人数规模,类属,经度,维度,公司地址,区域
数据分析专员,6,8千/月,广东医柜智能科技有限公司,上海,上海,无工作经验,,招若干人,,,",五险一金,专业培训,通讯补贴,交通补贴,弹性工作,年终奖金,绩效奖金,",职位信息 岗位职责： 1、 负责公司运营数据收集、整理、汇总、分析； 2、 建立、完善公司运营数据库管理并提出优化意见； 3、 通过数据分析、挖掘运营规律，为营销中心提供及时有效数据支撑； 4、 负责客户档案及部门数据档案管理； 5、 月度、季度、年度运营数据报表制作； 6、 参与营销中心年度预算、决算事宜。 任职资格： 1、本科及以上学历，统计学、数学、计算机、经济学或档案学专业； 2、具备2年以上数据统计、分析实操经验； 3、熟练掌握各类办公软件，工作细致、认真、勤奋；  4、逻辑思维缜密、对数据敏感。 ,",职能类别：,业务分析专员/助理,",,上班地址：徐汇区虹梅路2007号,105484026,&nbsp;&nbsp;&nbsp;广东医柜智能科技有限公司成立于2017年4月，由广东惠生科技有限公司投资创立，惠生科技成立于1999年，主营医疗渠道“孕产用品”（品牌“娇雪”），在医疗孕产用品行业市场占有率行业领先。 &nbsp;&nbsp;&nbsp;&nbsp;在医疗耗材新政大背景下（两票制、耗占比），公司致力于成为医疗机构（医院）耗材销售平台运营商，协助医院为患者提供一系列便民服务，提升医院服务水平，解决医患关系，并为患者提供24小时便利服务。 &nbsp;&nbsp;&nbsp;&nbsp;在互联网+时代背景下，公司自主设计研发行业先进的智能医疗产品售货机，免费投放至各大医疗机构承接医疗耗材便民销售服务。该设备在满足消费者购物的同时，还可提供手机免费充电、测身高/体重、复印等附加增值功能及人性化服务，进一步提升医院的品牌/服务形象。 目前医柜公司总部运营中心设立于上海并辐射全国市场，泰州、佛山设备生产基地相继运营投产，目前医柜项目已成功布局全国近百余家医院，其中代表性医院有：河南省人员医院、江苏省人民医院等。 &nbsp;&nbsp;&nbsp;&nbsp;行业蓝海、医疗新零售，我们诚挚邀请各方有志之士加盟，共享政策红利及新商业模式，一同进攻行业新高地，起舞人生、成就梦想，共创价值。 &nbsp;&nbsp;&nbsp;&nbsp;公司网址：www.yiguizn.com(医柜） &nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;&nbsp;www.josel.com.cn（娇雪） &nbsp;&nbsp;&nbsp;&nbsp;,民营公司,150-500人,"医疗,护理,卫生",31.1776,121.403161,徐汇区虹梅路2007号,上海
数据分析（跨境电商）,6,9千/月,上海竹棠贸易有限公司,上海,上海,1年经验,大专,招2人,普通话熟练,会计学,",带薪年假,五险一金,专业培训,节日福利,全勤奖,绩效奖金,交通补贴,员工生日会,",职位信息 1、公司电商平台模式结算流程的设计； 2、负责结算数据的核对、统计、整理、保持以及维护工作； 3、全面负责提供相关日、月结算统计报表与分析报表； 4、分析对账中发现的异常数据并及时处理，确保结清算工作顺利实施； 5、负责对支付结算环节中涉及资金安全的相关内部控制。 6、其他上级临时交付的工作任务。 任职资格： 1、会计、数据学、数学等相关专业本科以上学历； 2、1年工作经验，精通EXCEL表格各类函数以及透视表； 3、严谨的逻辑思维，对数字敏感，良好的沟通、协调能力，为人诚实、原则性强、敬业负责、工作细心，具有良好的职业道德与较强的执行力； 4、具有电商行业数据分析从业经验者优先考虑。 ,",职能类别：,财务分析员,","关键字：,电商,跨境出口,成本分析,利润分析,物流分析,",上班地址：上海市三泉路1711号邮政大楼3层,105485049,&nbsp;&nbsp;&nbsp;&nbsp;上海竹棠贸易有限公司成立于2013年初，总部位于上海宝山区。 &nbsp;&nbsp;&nbsp;&nbsp;竹棠经营和发展多元化的互联网外贸业务，业务渠道扩展涉及Amazon(亚马逊)、eBay、Aliexpress（速卖通）、Wish、Joom、shopee等多个第三方国际电子商务平台，经营上万种商品，包含服饰配件、3C电子、户外运动、汽车用品、家居等多个类别。业务范围辐射美国、英国、德国、澳洲、新加坡、马来西亚、俄罗斯等国家与地区。 &nbsp;&nbsp;&nbsp;&nbsp;2015年与邮政达成战略合作，完善产品供应链及物流体系，并在上海宝山区拥有2000多平米的物流配送仓库。 &nbsp;&nbsp;&nbsp;&nbsp;2017年，品牌创新，增设海外仓团队/女装品牌团队，同年合肥运营中心成立，未来仍将在原有规模基础上继续稳步拓展 &nbsp;&nbsp;&nbsp;&nbsp;竹棠多年保持销售业绩高速增长，公司是一个勤奋、务实、追求创新、充满正能量的团队。公司人性化的管理，让每一位员工快乐工作，快乐成长；严苛的标准，让您迅速成长；公平的考核和晋升通道，让您劳有所得！我们对跨境电商的发展前景充满信心，我们正努力正朝着“行业最具影响力的跨境电商”的目标迈进。 加入我们上海竹棠，您将得到： 1、法定福利待遇（五险一金、带薪年假、工龄奖等）； 2、每年度1-2次的加薪机会； 3、具有竞争力的薪资：基本工资+绩效奖金+年终奖+节日福利； 4、根据本年度的销售业绩和个人表现发放年终奖金； 5、具备激励性的绩效提成制度； 6、表现突出者每月获得优秀员工奖，新进员工有***新人奖； 7、国定假日福利及礼品发放； 8、员工生日小Party及生日礼品； 9、每个部门2个月一次聚餐，公司3个月一次聚会； 10、不定期的下午茶和茶歇； 11、公司每年举办1次团建活动，1次全体旅游，平时非常注重人文主意关怀，时常开展各种团队活动以增进团队的凝聚力；  上海公司地址：上海市三泉路1711号邮局三楼整层 合肥公司地址：安徽省合肥市经开区尚泽国际2706   ,民营公司,50-150人,"互联网,电子商务贸易,进出口",31.335203,121.444205,上海市三泉路1711号邮政大楼3层,上海
22989-腾讯云高级数据分析师(职位编号：43167),面议,,深圳市腾讯计算机系统有限公司,深圳,深圳,3-4年经验,本科,招2人,,,Null,职位信息 在对业务深入全面了解的基础上，梳理抽象业务的核心逻辑、核心kpi、关键指标、过程指标等，推动做成固化报表产品等，及时监控业务状况； 负责腾讯云整体的经营数据分析，问题诊断，对核心指标变动给出原因和建议； 能够对大盘，行业，和各种细分产品的业务经营数据进行分析，透过数据报表提出相应的优化建议，通过数据驱动业务。 3年以上数据体系规划、建设、分析相关工作经验，有云和计算机相关工作经验的优先考虑； 逻辑思维清晰，积极主动，善于思考，抗压能力强；懂财务相关经验的优先考虑； 具备较强的问题解决能力，能通过数据独立给出优化建议； 对数据敏感，擅长分析、总结，能够将数据分析与业务相结合； 具备一定的管理能力，能够指导他人工作，并且善于优化工作。 ,",职能类别：,产品/品牌经理,",,,105487219,腾讯成立于1998年11月，是目前中国领先的互联网增值服务提供商之一。成立10多年以来，腾讯一直秉承“一切以用户价值为依归”的经营理念，为亿级海量用户提供稳定优质的各类服务，始终处于稳健发展的状态。2004年6月16日，腾讯控股有限公司在香港联交所主板公开上市（股票代号700）。  通过互联网服务提升人类生活品质是腾讯的使命。目前，腾讯把“连接一切”作为战略目标，提供社交平台与数字内容两项核心服务。通过即时通信工具QQ、移动社交和通信服务微信和WeChat、门户网站腾讯网（QQ.com）、腾讯游戏、社交网络平台QQ空间等中国领先的网络平台，满足互联网用户沟通、资讯、娱乐和金融等方面的需求。截至2017年12月31日，QQ的月活跃帐户数达到7.83亿，最高同时在线帐户数达到2.71亿；微信和WeChat的合并月活跃帐户数达9.89亿。腾讯的发展深刻地影响和改变了数以亿计网民的沟通方式和生活习惯，并为中国互联网行业开创了更加广阔的应用前景。  面向未来，坚持自主创新，树立民族品牌是腾讯的长远发展规划。目前，腾讯50%以上员工为研发人员，拥有完善的自主研发体系，在存储技术、数据挖掘、多媒体、中文处理、分布式网络、无线技术六大方向都拥有了相当数量的专利，在全球互联网企业中专利申请和授权总量均位居前列。  成为最受尊敬的互联网企业是腾讯的远景目标。腾讯一直积极参与公益事业、努力承担企业社会责任、推动网络文明。2006年，腾讯成立了中国互联网首家慈善公益基金会——腾讯慈善公益基金会，并建立了腾讯公益网（gongyi.qq.com）。秉承“致力公益慈善事业，关爱青少年成长，倡导企业公民责任，推动社会和谐进步”的宗旨，腾讯的每一项产品与业务都拥抱公益，开放互联，并倡导所有企业一起行动，通过互联网领域的技术、传播优势，缔造“人人可公益，民众齐参与”的互联网公益新生态。,民营公司,10000人以上,"互联网,电子商务",22.546243,113.94996,,深圳
库存大数据分析管理专员,3,5千/月,浙江伟星实业发展股份有限公司,台州,台州,无工作经验,本科,招若干人,审计学 会计信息系统,,",包住宿,绩效奖金,专业培训,节日福利,餐饮补贴,高温补贴,",职位信息 工作内容： 1、负责梳理全厂仓库管理制度、设计数据流程，提升信息化程度； 2、负责对全厂仓库的管控，包括对库存总量控制，分品类设定合理最低库存，审核相关购销申请，抽盘账目，确保账实相符，跟踪处理异常库存等； 3、负责编制工厂每月库存分析报告并提出解决方案，为公司领导决策提供可靠依据； 4、配合全供应链管理完成相关物料编码、订单号转换等处理； 5、负责仓管员培训，提升等工作； 6、完成领导下达的其他工作任务。  岗位职责： 1 、爱岗敬业，吃苦耐劳，有责任心、认真细致，有一定数据敏感性，有良好的职业操守； 2 、具有一定的沟通、协调能力、能承受一定工作压力； 3 、熟练应用财务及 Office 办公软件，具备优秀的 PPT 制作与讲解能力。 ,",职能类别：,财务分析员,统计员,",,上班地址：临海市前江南路8号,105494780,浙江伟星实业发展股份有限公司（以下简称公司）设立于1988年，主营钮扣、拉链等服饰辅料的生产与销售，是中国钮扣专业委员会会长单位，中国五金协会拉链分会副理事长单位，中国上市公司协会监事单位，中国钮扣、拉链行业标准的主要起草单位（证券简称：伟星股份，证券代码：002003）。 经过三十年的发展，公司在技术与研发、装备与规模、营销与服务、品牌以及管理团队等方面形成了较强的综合竞争优势。公司在浙江和深圳建有四大工业基地，并在孟加拉筹建新工业园，现已形成年产钮扣100亿粒、拉链4.80亿米的生产能力；公司在研发与生产方面积累了丰富的工艺技术诀窍，现建有中国拉链、钮扣技术研究中心、CNAS实验室、博士后工作站，拥有专利353项。旗下“SAB”品牌在业内享有盛誉。 公司以“传承服饰文化，提升时尚品味”为使命，致力于为客户提供快捷、贴心的“一站式（全程）”服务，为客户“量身定制”一体化辅料解决方案，现已成为全球众多知名服装品牌企业的战略合作伙伴。 伟星股份以成为国际服饰辅料行业领导企业为愿景，辅助客户成长，成就宏图大业。 ,民营公司,5000-10000人,"服装,纺织,皮革",28.884551,121.20618,临海市前江南路8号,台州
TEG02-数据分析工程师(职位编号：43251),面议,,深圳市腾讯计算机系统有限公司,深圳,深圳,3-4年经验,本科,招1人,,,Null,职位信息 对腾讯日常运营故障、质量、容量和日志等进行数据分析和挖掘，打造业内先进的运营分析平台； 通过大数据分析，建立运营模型，预测网络运营事件、运营质量和网络带宽未来趋势，为腾讯运营前瞻性规划提供支撑； 总结运营规律，从海量数据提炼核心结果，发布运营报告，并对分析的潜在问题和风险给出优化建议； 研究业务架构，分析业务特征，指导业务合理使用网络，匹配业务与网络架构契合度； 负责推动相关团队解决数据运营分析中发现的问题； 对行业信息进行搜集和对比，发现自身运营数据的优劣，为优化方向提供决策意见； 要求3年以上从事互联网相关大数据分析挖掘工作，有独立设计数据指标经验； 熟悉运营商骨干网、运营商移动网和数据中心网络者优先； 熟悉数据建模知识、数据挖掘理论，熟练掌握数据分析体系架构、方法； 熟悉掌握常用Shell/Python/Perl等脚本工具，具有大数据分析的开发经验； 熟悉数据库基本原理，熟练运用SQL，熟练操作excel、PPT； 具有良好的数据敏感度，具备较强的逻辑分析和算法研究能力； 具备良好的沟通技巧和presentation表达能力； ,",职能类别：,网站架构设计师,网站维护工程师,",,,105495547,腾讯成立于1998年11月，是目前中国领先的互联网增值服务提供商之一。成立10多年以来，腾讯一直秉承“一切以用户价值为依归”的经营理念，为亿级海量用户提供稳定优质的各类服务，始终处于稳健发展的状态。2004年6月16日，腾讯控股有限公司在香港联交所主板公开上市（股票代号700）。  通过互联网服务提升人类生活品质是腾讯的使命。目前，腾讯把“连接一切”作为战略目标，提供社交平台与数字内容两项核心服务。通过即时通信工具QQ、移动社交和通信服务微信和WeChat、门户网站腾讯网（QQ.com）、腾讯游戏、社交网络平台QQ空间等中国领先的网络平台，满足互联网用户沟通、资讯、娱乐和金融等方面的需求。截至2017年12月31日，QQ的月活跃帐户数达到7.83亿，最高同时在线帐户数达到2.71亿；微信和WeChat的合并月活跃帐户数达9.89亿。腾讯的发展深刻地影响和改变了数以亿计网民的沟通方式和生活习惯，并为中国互联网行业开创了更加广阔的应用前景。  面向未来，坚持自主创新，树立民族品牌是腾讯的长远发展规划。目前，腾讯50%以上员工为研发人员，拥有完善的自主研发体系，在存储技术、数据挖掘、多媒体、中文处理、分布式网络、无线技术六大方向都拥有了相当数量的专利，在全球互联网企业中专利申请和授权总量均位居前列。  成为最受尊敬的互联网企业是腾讯的远景目标。腾讯一直积极参与公益事业、努力承担企业社会责任、推动网络文明。2006年，腾讯成立了中国互联网首家慈善公益基金会——腾讯慈善公益基金会，并建立了腾讯公益网（gongyi.qq.com）。秉承“致力公益慈善事业，关爱青少年成长，倡导企业公民责任，推动社会和谐进步”的宗旨，腾讯的每一项产品与业务都拥抱公益，开放互联，并倡导所有企业一起行动，通过互联网领域的技术、传播优势，缔造“人人可公益，民众齐参与”的互联网公益新生态。,民营公司,10000人以上,"互联网,电子商务",22.546243,113.94996,,深圳
数据分析师,1,1.5万/月,上海正善食品有限公司,上海-黄浦区,上海,3-4年经验,大专,招若干人,,,Null,职位信息 1、根据用户行为等数据进行业务分析，帮助业务快速提升； 2、建设业务分析模型，不断评估和优化业务分析模型。 3、支持业务上各种统计分析需求。  职位要求： 1、数学、统计学、计算机相关专业优先，对数据分析有强烈兴趣者优先； 2、有IT大数据分析经验，有大型互联网公司数据分析经验、互联网数据建模分析经验者优先； 3、有一线产品或运营业务优化经验者优先； 4、精通&nbsp;SQL，熟练使用&nbsp;R/Python&nbsp;进行数据清洗、分析； 5、能快速理解业务，发掘业务细节和数据之间的联系； 6、掌握&nbsp;Tableau&nbsp;等&nbsp;BI&nbsp;工具尤佳。 ,",职能类别：,信息技术专员,",,上班地址：局门路,105517406,&nbsp;&nbsp;&nbsp;&nbsp;正善是一家基于人格化品牌打造的新媒体零售品牌。我们的IP矩阵目前已拥有800万美食类精准粉丝。 &nbsp;&nbsp;&nbsp;&nbsp;正善用1年零1个月的时间，从只有4名员工到现在的淘系全网牛排和葡萄酒销量冠军，走过的每一天，都凝聚着汗水与梦想。我们为了让更多身边人都吃上更好的牛肉而不断奔走，为了让更多的优质食材能端上每个家庭的餐桌而不停追求，我们傻傻地相信并傻傻地坚持着。 &nbsp;&nbsp;&nbsp;&nbsp;目前，正善已经是一家拥有250万粉丝的网红电商公司，以2018年度双十一当天2753.03万的支付金额名列牛羊肉类目第1位、葡萄酒类目第1位。淘宝新店开业仅22天， 3分钟销售额破100万，5小时销售额破1000万。 &nbsp;&nbsp;&nbsp;&nbsp;伴随着移动互联网的飞速发展和短视频行业的崛起，正善在不断尝试模式创新，从会员制电商到短视频网红IP孵化，短短11个月，正善的抖音IP“正善牛肉哥”短视频播放数超40亿。 &nbsp;&nbsp;&nbsp;&nbsp;与此同时，正善大力发展线下实体店铺——正善超级肉铺。现已在上海、苏州、嘉兴、福州拥有4家门店，重庆、北京、成都、温州、昆明、大理、合肥、常州、马鞍山、淮北等地加盟店正在筹备中，预计到2019年底成功开设50家门店。 &nbsp;&nbsp;&nbsp;&nbsp;另外，正善正在积极筹备智能酒柜，希望让国人喝上更纯正、更低价的进口葡萄酒，将葡萄酒价格打下来，预计至2019年底在全国投放5000台智能酒柜，实现平等葡萄酒理想。 &nbsp;&nbsp;&nbsp;（1）创始人： “牛肉哥”陈錡，24年生鲜行业经验，知名美食类网红，抖音粉丝260万，是国内第一批从事进口食材贸易的行业元老，曾任中通快递董事长秘书、美国自然牛零售协会主席，强大的供应链资源整合能力和买手能力。 &nbsp;&nbsp;&nbsp;（2）联合创始人&CEO: 李荣鑫，复旦大学临床医学专业毕业，全栈型软件架构师，网络营销专家。曾为奥美、李奥贝纳的数字营销部门服务5年。,民营公司,50-150人,"快速消费品(食品、饮料、化妆品)互联网,电子商务",31.21354,121.486806,局门路,黄浦区
数据分析（跨境电商）,6,9千/月,上海竹棠贸易有限公司,上海,上海,1年经验,大专,招2人,普通话熟练,会计学,",带薪年假,五险一金,专业培训,节日福利,全勤奖,绩效奖金,交通补贴,员工生日会,",职位信息 1、公司电商平台模式结算流程的设计； 2、负责结算数据的核对、统计、整理、保持以及维护工作； 3、全面负责提供相关日、月结算统计报表与分析报表； 4、分析对账中发现的异常数据并及时处理，确保结清算工作顺利实施； 5、负责对支付结算环节中涉及资金安全的相关内部控制。 6、其他上级临时交付的工作任务。 任职资格： 1、会计、数据学、数学等相关专业本科以上学历； 2、1年工作经验，精通EXCEL表格各类函数以及透视表； 3、严谨的逻辑思维，对数字敏感，良好的沟通、协调能力，为人诚实、原则性强、敬业负责、工作细心，具有良好的职业道德与较强的执行力； 4、具有电商行业数据分析从业经验者优先考虑。 ,",职能类别：,财务分析员,","关键字：,电商,跨境出口,成本分析,利润分析,物流分析,",上班地址：上海市三泉路1711号邮政大楼3层,105531312,&nbsp;&nbsp;&nbsp;&nbsp;上海竹棠贸易有限公司成立于2013年初，总部位于上海宝山区。 &nbsp;&nbsp;&nbsp;&nbsp;竹棠经营和发展多元化的互联网外贸业务，业务渠道扩展涉及Amazon(亚马逊)、eBay、Aliexpress（速卖通）、Wish、Joom、shopee等多个第三方国际电子商务平台，经营上万种商品，包含服饰配件、3C电子、户外运动、汽车用品、家居等多个类别。业务范围辐射美国、英国、德国、澳洲、新加坡、马来西亚、俄罗斯等国家与地区。 &nbsp;&nbsp;&nbsp;&nbsp;2015年与邮政达成战略合作，完善产品供应链及物流体系，并在上海宝山区拥有2000多平米的物流配送仓库。 &nbsp;&nbsp;&nbsp;&nbsp;2017年，品牌创新，增设海外仓团队/女装品牌团队，同年合肥运营中心成立，未来仍将在原有规模基础上继续稳步拓展 &nbsp;&nbsp;&nbsp;&nbsp;竹棠多年保持销售业绩高速增长，公司是一个勤奋、务实、追求创新、充满正能量的团队。公司人性化的管理，让每一位员工快乐工作，快乐成长；严苛的标准，让您迅速成长；公平的考核和晋升通道，让您劳有所得！我们对跨境电商的发展前景充满信心，我们正努力正朝着“行业最具影响力的跨境电商”的目标迈进。 加入我们上海竹棠，您将得到： 1、法定福利待遇（五险一金、带薪年假、工龄奖等）； 2、每年度1-2次的加薪机会； 3、具有竞争力的薪资：基本工资+绩效奖金+年终奖+节日福利； 4、根据本年度的销售业绩和个人表现发放年终奖金； 5、具备激励性的绩效提成制度； 6、表现突出者每月获得优秀员工奖，新进员工有***新人奖； 7、国定假日福利及礼品发放； 8、员工生日小Party及生日礼品； 9、每个部门2个月一次聚餐，公司3个月一次聚会； 10、不定期的下午茶和茶歇； 11、公司每年举办1次团建活动，1次全体旅游，平时非常注重人文主意关怀，时常开展各种团队活动以增进团队的凝聚力；  上海公司地址：上海市三泉路1711号邮局三楼整层 合肥公司地址：安徽省合肥市经开区尚泽国际2706   ,民营公司,50-150人,"互联网,电子商务贸易,进出口",31.335203,121.444205,上海市三泉路1711号邮政大楼3层,上海
大数据分析专员,0.6,1.2万/月,烟台欣和企业食品有限公司,上海-长宁区,上海,1年经验,本科,招2人,计算机科学与技术 统计学,,",五险一金,员工旅游,餐饮补贴,绩效奖金,年终奖金,",职位信息 岗位职责： 掌握并强化所需的数据分析工具及模拟开发能力，提供及时培训； 负责针对内部业务检视的所有数据分析需求，从分析到发布，涉及定期和临时分析需求； 负责针对市场检视的所有数据分析需求，从分析到发布，涉及定期和临时分析需求； 积极寻求外部资源和方法，提升欣和掌握相关市场数据的全面性和及时性； 及时反馈数据质量问题； 任职要求： 数据分析 / 计划与绩效 / 会议汇报等相关职能部门工作经验； 逻辑思维清晰，沟通能力强； 本科， 统计学 相关或经管类专业优先； 有财务分析审计类工作经验者更佳； ,",职能类别：,其他,","关键字：,数据分析统计,",上班地址：金钟路631号2号楼中央大厦3楼,105543926,欣和企业是专业调味品酿造公司，历经二十余年的发展创新，欣和已成为调味品行业知名企业，旗下有六月鲜、味达美、葱伴侣、6月香、黄飞红、欣和、有所思、禾然、小康、遵循自然和醯官醋等知名品牌。 欣和成立的初衷是让所有家庭吃得放心，我们坚信食物对于家庭和生活，不仅仅是物质的基础，更是维系情感、提升生活品质的根本。因此欣和立志从更广泛的饮食生态入手，改善食物从源头到餐桌过程中的每一个环节，包括食物的来源、生产加工的方式，以及所有与饮食相关的体验。欣和致力打造的饮食生态系统，包括可持续的农业种植、可靠的饮食供应链、创新的产品研发、高标准的生产制造、便捷的零售渠道、极致的饮食体验、全方位的食物教育。欣和立志成为能代表中国的领先食品企业，为整个中国食品行业建立新的标准，并将可信赖的中国美食带给世界。欣和上下都努力践行这份愿景，为了打造中国饮食新生态，为了给所有家庭一个更健康的未来。,外资（欧美）,1000-5000人,快速消费品(食品、饮料、化妆品),31.225282,121.365399,金钟路631号2号楼中央大厦3楼,长宁区
市场大数据分析,1,1.5万/月,上海清聂电子商务有限公司,上海-浦东新区,上海,无工作经验,,招若干人,,,",周末双休,带薪年假,交通补贴,通讯补贴,餐饮补贴,绩效奖金,五险一金,弹性工作,专业培训,节日福利,",职位信息 1.从事电商行业运营1-2年以上，本科以上学历，对电商运营数据进行监控分析，根据数据情况快速有效的定位问题并提出解决方案； 2.对所运营的品牌进行进行深入思考和分析，相关数据的收集、整理，形成专业分析报告和实施建议，并提供数据分析支持； 3.完善数据分析标准体系与分析模型，并向产品、技术部门提出需求， 4.整理分析营销运营指标，量化指标，搭建多维数据，分析用户来源、行为路径、转化率等运营核心数据，给各职能部门提供数据反馈和建议； 5.理解业务运作逻辑，利用数据分析手段，及时发现业务流程中存在的问题，进行原因分析，提出解决方案并与业务部门沟通达成共识； 6.从业务运作视角出发，对数据监测系统进行功能优化，通过各类数据分析发现业务趋势，输出公司所需的报告，反馈至各业务部门进行落地， 任职资格: 1.统计学、会计、数学相关专业本科及以上学历； 2.较强的数据处理能力，熟练操作Excel，掌握Access等数据处理工具，以及其他Word、Powerpoint等Office办公软件； ,",职能类别：,市场分析/调研人员,大数据开发/分析,","关键字：,数据分析,市场数据,大数据,",上班地址：张江,105559608,公司倾力打造的一款社区O2O生活服务平台。该平台基于移动互联网及LBS定位技术，以商超为核心，为周边5公里范围内的用户提供生活用品、家用百货、生鲜食品的购买与配送服务。公司坚持与品牌连锁商超的深度合作，为用户提供有品质保证、物美价廉的商品，解决社区生活“最后一公里”难题，降低用户出行成本，满足用户需求，提高生活质量。,民营公司,150-500人,"互联网,电子商务计算机软件",31.210825,121.591849,张江,浦东新区
数据分析师,0.8,1.2万/月,易视腾科技股份有限公司,南京,南京,1年经验,本科,招1人,,,",五险一金,补充医疗保险,通讯补贴,绩效奖金,年终奖金,定期体检,","职位信息 岗位职责： 1、负责与业务部门数据需求沟通与确认,进行系统分析和报表数据设计以及数据提取和数据校验； 2、负责撰写数据报告，为业务精细化运营提供数据支持； 3、对业务迅速深入理解，并熟悉业务功能、策略； 4、支持数据建模和分析、数据挖掘的工作。 &nbsp; 任职资格： 1、全日制大学本科以上学历，计算机相关专业； 2、责任心强，数据意识强，数据保密意识强；逻辑思维严谨，有良好的数据分析能力；反应迅速，能够良好沟通；有良好的团队合作精神。 3、一年及以上工作经验，有互联网产品、运营、数据分析和数据仓库的实践经验者优先； 4、熟练掌握SQL，excel； 5、掌握R，Spark，python，Hadoop，Hive者优先考虑；有ETL经验的优先考虑； ",",职能类别：,大数据开发/分析,",,上班地址：南京市雨花区软件大道168号润和创智中心C栋102,105561755,易视腾科技股份有限公司是中国领先的互联网电视技术服务商，是一家专注于互联网电视核心技术研发、智能终端开发及销售、互联网电视业务运营服务的高新技术企业，致力成为中国互联网电视领航者。公司成立于2008年，以北京和无锡为双总部展开运营，在全国20多个省份设有分支机构。 易视腾拥有坚实的技术研发与创新能力，专注于互联网电视OTT 技术研发，在播控平台技术、互联网分发传输技术、OTT智能硬件技术、智能操作系统和应用技术、自然人机交互系统技术等方面处于业界领先阶段。易视腾于2010年为未来电视有限公司开发建设的“互联网电视集成播控平台”，率先通过国家广电总局测试验收。易视腾亦是国内率先推出合规三网融合智能OTT终端的企业。 &nbsp;&nbsp;&nbsp;&nbsp;易视腾协同互联网电视牌照商、内容及应用提供商，与电信及广电运营商紧密合作，为全国家庭用户提供具有电信级QoS服务品质保障的互联网电视服务。公司参与建设各地运营商的互联网电视业务平台，提供端到端技术解决方案和定制化的OTT终端产品，深度参与OTT业务运营，协同开展各种增值业务，提供运行保障及技术支撑服务，使最终用户获得丰富多彩的互联网电视体验。易视腾已与江西移动、四川移动、江苏移动、浙江移动、贵州联通、广西联通等全国20多家省级电信运营商，针对“家庭宽带+互联网电视”业务进行深度合作。 &nbsp;&nbsp;&nbsp;&nbsp;到目前，易视腾已经在全国范围内服务数百万互联网电视家庭用户，终端出货数百万台，千万级、可运营的互联网电视家庭用户群正在形成。多年来的业务实践，使易视腾拥有了丰富的互联网电视业务运营服务经验和完善的运营服务体系与能力，在平台部署、实际服务用户数、运营和服务质量效果等方面均处于业界领先地位。 易视腾是江苏高新技术企业、无锡软件认证企业、ISO9001认证企业、中国网络视听协会理事单位。 &nbsp;&nbsp;&nbsp; 公司主页：http://www.ysten.com,民营公司,500-1000人,"计算机软件互联网,电子商务",31.980835,118.76476,南京市雨花区软件大道168号润和创智中心C栋102,南京
